ID,Name,Address,Rating,Rubric,Context
70000001050366600,"Панакота, кафе-кондитерская","улица Немировича-Данченко, 158",4.8,"Кофейни, Кафе-кондитерские, Кондитерские изделия, Доставка еды, Кафе","{'stop_factors': [{'name': 'Кофейни', 'type': 'rubric'}, {'name': 'Лучшая кондитерская 2023', 'tag': 'awards_awards2023_thebestconfectionery2023', 'type': 'attribute'}, {'name': 'Завтрак', 'tag': 'food_service_details_food_breakfast', 'type': 'attribute'}, {'name': 'Можно с ноутбуком', 'tag': 'food_service_cafe_working', 'type': 'attribute'}, {'name': 'Салаты', 'tag': 'food_service_assortment_assortment_salads', 'type': 'attribute'}, {'name': 'Супы', 'tag': 'food_service_assortment_assortment_soups', 'type': 'attribute'}, {'name': 'Блюда на гриле', 'tag': 'food_service_assortment_assortment_grilled', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}, {'name': 'Глинтвейн', 'tag': 'cocktail_bars_types_mulledwine', 'type': 'attribute'}, {'name': 'Чай с собой', 'tag': 'cocktail_bars_types_tea_take_away', 'type': 'attribute'}, {'name': 'Молочные коктейли', 'tag': 'cocktail_bars_types_milk_shake', 'type': 'attribute'}, {'name': 'Какао', 'tag': 'cocktail_bars_types_cocoa', 'type': 'attribute'}, {'name': 'Доставка', 'tag': 'covid_homedelivery', 'type': 'attribute'}]}"
70000001048018416,Сытый медведь,"Маяковского, 5а киоск",4.2,Быстрое питание,"{'stop_factors': [{'name': 'Быстрое питание', 'type': 'rubric'}, {'name': 'Средний чек 200\xa0₽', 'tag': 'food_service_avg_price', 'type': 'attribute'}, {'name': 'Чебуреки', 'tag': 'food_service_assortment_assortment_chebureki', 'type': 'attribute'}, {'name': 'Хот-доги', 'tag': 'food_service_assortment_assortment_hot_dogs', 'type': 'attribute'}, {'name': 'Картофель-фри', 'tag': 'food_service_assortment_assortment_frenchfries', 'type': 'attribute'}, {'name': 'Варёная кукуруза', 'tag': 'food_service_assortment_assortment_corn', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}, {'name': 'Молочные коктейли', 'tag': 'cocktail_bars_types_milk_shake', 'type': 'attribute'}]}"
70000001065408920,"Rostic's Авто, ресторан быстрого обслуживания","Советское шоссе, 3/1",1.6,"Быстрое питание, Доставка еды","{'stop_factors': [{'name': 'Быстрое питание', 'type': 'rubric'}, {'name': 'Средний чек 350\xa0₽', 'tag': 'food_service_avg_price', 'type': 'attribute'}, {'name': 'Автокафе', 'tag': 'food_service_drivethru', 'type': 'attribute'}, {'name': 'Бургеры', 'tag': 'food_service_assortment_assortment_hamburgers', 'type': 'attribute'}, {'name': 'Картофель-фри', 'tag': 'food_service_assortment_assortment_frenchfries', 'type': 'attribute'}, {'name': 'Куриные крылышки', 'tag': 'food_service_assortment_assortment_eat_chicken_wing', 'type': 'attribute'}, {'name': 'Наггетсы', 'tag': 'food_service_assortment_assortment_nuggets', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}, {'name': 'Молочные коктейли', 'tag': 'cocktail_bars_types_milk_shake', 'type': 'attribute'}, {'name': 'Доставка', 'tag': 'covid_homedelivery', 'type': 'attribute'}]}"
141265770472660,"Додо Пицца, сеть пиццерий","улица Объединения, 27",3.2,"Быстрое питание, Доставка еды, Пиццерии","{'stop_factors': [{'name': 'Быстрое питание', 'type': 'rubric'}, {'name': 'Средний чек 500\xa0₽', 'tag': 'food_service_avg_price', 'type': 'attribute'}, {'name': 'Пицца', 'tag': 'food_service_assortment_assortment_pizza', 'type': 'attribute'}, {'name': 'Картофель-фри', 'tag': 'food_service_assortment_assortment_frenchfries', 'type': 'attribute'}, {'name': 'Салаты', 'tag': 'food_service_assortment_assortment_salads', 'type': 'attribute'}, {'name': 'Сэндвичи', 'tag': 'food_service_assortment_assortment_sandwich', 'type': 'attribute'}, {'name': 'Куриные крылышки', 'tag': 'food_service_assortment_assortment_eat_chicken_wing', 'type': 'attribute'}, {'name': 'Наггетсы', 'tag': 'food_service_assortment_assortment_nuggets', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}, {'name': 'Молочные коктейли', 'tag': 'cocktail_bars_types_milk_shake', 'type': 'attribute'}, {'name': 'Доставка', 'tag': 'covid_homedelivery', 'type': 'attribute'}]}"
70000001026487984,"Грильница, сеть ресторанов вкусной еды","улица Дуси Ковальчук, 179/2",3.9,"Быстрое питание, Доставка еды","{'stop_factors': [{'name': 'Быстрое питание', 'type': 'rubric'}, {'name': 'Средний чек 350\xa0₽', 'tag': 'food_service_avg_price', 'type': 'attribute'}, {'name': 'Бизнес-ланч от 249\xa0₽', 'tag': 'food_service_lunch_cost', 'type': 'attribute'}, {'name': 'Суши', 'tag': 'food_service_assortment_assortment_eat_sushi', 'type': 'attribute'}, {'name': 'Шаурма', 'tag': 'food_service_assortment_assortment_shawarma', 'type': 'attribute'}, {'name': 'Пицца', 'tag': 'food_service_assortment_assortment_pizza', 'type': 'attribute'}, {'name': 'Лапша wok', 'tag': 'food_service_assortment_assortment_noodles', 'type': 'attribute'}, {'name': 'Хот-доги', 'tag': 'food_service_assortment_assortment_hot_dogs', 'type': 'attribute'}, {'name': 'Картофель-фри', 'tag': 'food_service_assortment_assortment_frenchfries', 'type': 'attribute'}, {'name': 'Фо-бо', 'tag': 'food_service_assortment_assortment_fo_bo', 'type': 'attribute'}, {'name': 'Салаты', 'tag': 'food_service_assortment_assortment_salads', 'type': 'attribute'}, {'name': 'Закрытая пицца', 'tag': 'food_service_assortment_assortment_zakpizza', 'type': 'attribute'}, {'name': 'Супы', 'tag': 'food_service_assortment_assortment_soups', 'type': 'attribute'}, {'name': 'Куриные крылышки', 'tag': 'food_service_assortment_assortment_eat_chicken_wing', 'type': 'attribute'}, {'name': 'Наггетсы', 'tag': 'food_service_assortment_assortment_nuggets', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}, {'name': 'Доставка', 'tag': 'covid_homedelivery', 'type': 'attribute'}]}"
141265771055162,"Шашлычок, кафе быстрого питания","Одоевского, 1/10 к1 киоск",3.6,"Быстрое питание, Доставка еды","{'stop_factors': [{'name': 'Быстрое питание', 'type': 'rubric'}, {'name': 'Средний чек 350\xa0₽', 'tag': 'food_service_avg_price', 'type': 'attribute'}, {'name': 'Восточная кухня', 'tag': 'food_service_food_oriental', 'type': 'attribute'}, {'name': 'Кавказская кухня', 'tag': 'food_service_food_caucasian', 'type': 'attribute'}, {'name': 'Шашлык', 'tag': 'food_service_assortment_assortment_barbecue', 'type': 'attribute'}, {'name': 'Бургеры', 'tag': 'food_service_assortment_assortment_hamburgers', 'type': 'attribute'}, {'name': 'Манты', 'tag': 'food_service_assortment_assortment_manty', 'type': 'attribute'}, {'name': 'Люля-кебаб', 'tag': 'food_service_assortment_assortment_kebab', 'type': 'attribute'}, {'name': 'Лагман', 'tag': 'food_service_assortment_assortment_lagman', 'type': 'attribute'}, {'name': 'Хачапури', 'tag': 'food_service_assortment_assortment_khachapuri', 'type': 'attribute'}, {'name': 'Блюда на гриле', 'tag': 'food_service_assortment_assortment_grilled', 'type': 'attribute'}, {'name': 'Плов', 'tag': 'food_service_assortment_assortment_pilaf', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}, {'name': 'Доставка', 'tag': 'covid_homedelivery', 'type': 'attribute'}]}"
70000001051270984,"Хот-дог Мастер, фуд-киоск","улица Бориса Богаткова, 206",2.9,Быстрое питание,"{'stop_factors': [{'name': 'Быстрое питание', 'type': 'rubric'}, {'name': 'Средний чек 100\xa0₽', 'tag': 'food_service_avg_price', 'type': 'attribute'}, {'name': 'Хот-доги', 'tag': 'food_service_assortment_assortment_hot_dogs', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}]}"
70000001039723960,Mgrill,"Толмачёвское шоссе, 2Б к1",3.9,Быстрое питание,"{'stop_factors': [{'name': 'Быстрое питание', 'type': 'rubric'}, {'name': 'Средний чек 200\xa0₽', 'tag': 'food_service_avg_price', 'type': 'attribute'}, {'name': 'Шаурма', 'tag': 'food_service_assortment_assortment_shawarma', 'type': 'attribute'}, {'name': 'Картофель-фри', 'tag': 'food_service_assortment_assortment_frenchfries', 'type': 'attribute'}, {'name': 'Наггетсы', 'tag': 'food_service_assortment_assortment_nuggets', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}]}"
70000001046427744,"Гренки, кафетерий","улица Писарева, 121",4.1,Быстрое питание,"{'stop_factors': [{'name': 'Быстрое питание', 'type': 'rubric'}, {'name': 'Средний чек 150\xa0₽', 'tag': 'food_service_avg_price', 'type': 'attribute'}, {'name': 'Бизнес-ланч от 300\xa0₽', 'tag': 'food_service_lunch_cost', 'type': 'attribute'}, {'name': 'Пицца', 'tag': 'food_service_assortment_assortment_pizza', 'type': 'attribute'}, {'name': 'Хот-доги', 'tag': 'food_service_assortment_assortment_hot_dogs', 'type': 'attribute'}, {'name': 'Лагман', 'tag': 'food_service_assortment_assortment_lagman', 'type': 'attribute'}, {'name': 'Салаты', 'tag': 'food_service_assortment_assortment_salads', 'type': 'attribute'}, {'name': 'Супы', 'tag': 'food_service_assortment_assortment_soups', 'type': 'attribute'}, {'name': 'Бутерброды', 'tag': 'food_service_assortment_assortment_sandwiches', 'type': 'attribute'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}]}"
70000001046956872,"Чашка кофе, кофейня","улица Немировича-Данченко, 162Б",2.3,"Кофейни, Кондитерские изделия","{'stop_factors': [{'name': 'Кофейни', 'type': 'rubric'}, {'name': 'Кофе с собой', 'tag': 'cocktail_bars_types_coffee_take_away', 'type': 'attribute'}, {'name': 'Чай с собой', 'tag': 'cocktail_bars_types_tea_take_away', 'type': 'attribute'}, {'name': 'Смузи', 'tag': 'cocktail_bars_types_smoo_thie', 'type': 'attribute'}, {'name': 'Молочные коктейли', 'tag': 'cocktail_bars_types_milk_shake', 'type': 'attribute'}, {'name': 'Свежевыжатые соки', 'tag': 'cocktail_bars_types_fresh', 'type': 'attribute'}, {'name': 'Горячий шоколад', 'tag': 'cocktail_bars_types_hot_chocolate', 'type': 'attribute'}, {'name': 'Какао', 'tag': 'cocktail_bars_types_cocoa', 'type': 'attribute'}]}"
